name,about_the_space,price,saves,link,location
Daylight Photo Studio / 1500 Sq. Ft. Loft,"This is a 1500 sq. ft. daylight studio available for photo & video productions in Chinatown. With large windows facing south, the main space is flooded with natural light throughout the day. This all white loft features textured brick walls, exposed wood beam ceilings up to 14 feet high, and an open floor plan.

Grip is included. Furniture can be easily rearranged.  Please see amenities below for details.

Kitchenette: Fridge, Kettle, French Press, Espresso Machine, Sink, Electric Burners.

Tables: 5 tables total including an 8 ft. dining table with bench seating for 12 people, 6 ft. white make-up table with beauty lamp, and 3x 6 ft. folding tables. 

Seating: White Leather Sofa, 5 chairs, 4 stools.

Sound: Bose 901 speakers with 400 watt amp and AV hook up.

Catering: Outside catering is welcome and we can recommend several nearby options. Catering is often set up on a on the bar top.

*Please note, the studio is a 5th floor walk up. We offer assistance to carry basic equipment upstairs. For larger production needs, we can hire an assistant to carry EQ upstairs for $80/hr.*

INCLUDED EQUIPMENT:
Garment racks x3
Jiffy Steamer

INCLUDED GRIP:
40” C-stands Complete x3
Roller Stand Low Base 11' #A5034
Manfrotto light stands x8
Autopoles + Backdrop support
Extension cords x4
A-Clamps x 12
Super Clamps x4
J-Hooks x2
Sandbags x4
Apple Boxes x4
V-Flats 4x8’ x4
Poly boards white, black x8
Silver bead boards x3
Mirrors (various sizes) x5

EQUIPMENT AVAILABLE FOR RENTAL:
Profoto Acute2 2400 Power Pack
Profoto Acute2 Flash Heads x2
Profoto Softbox 1x4' RF
Profoto Softbox 3x4' RF
Profoto Beauty Dish White
Profoto Umbrellas Medium White x3
Profoto Umbrella Large Deep Silver + Diffuser
Profoto Zoom Reflectors 7"" x5 (included)
Manfrotto Tripod 190PROB
Gitzo Tripod
Pocket Wizards Plus II x2

EXPENDABLES & BACKDROPS
9 ft. Seamless Paper (variety of colors in stock)
Plywood Panels unpainted 4x8' x2
Plywood Panels painted 4x8' x2
Frosted Plexi Panel 4x8’
White Formica Panel 4x8' 
Color Gels & Filters
Batteries",115,276,https://www.peerspace.com/pages/listings/571f7c7b07bf090900771bd1,"Lower Manhattan, New York, NY"
Pristine Creative Space In Woodside,"Elegant, comfortable (air conditioned), newly-renovated space for portraiture and creative photography, videography, Art exhibit, Small concerts and corporate meeting in Woodside, three blocks from M, R & 7. Pristine, clean, quiet, warm, nonsmoking space steps from restaurants, shops, gyms, and entertainment. Space beyond studio accommodates up to 100 people.

Features include off white-walls with plenty of daylight through Windows, hardwood or carpeted floors, strong (50+ Mbps) wifi, microwave, refrigerator, coffee maker and 1 full bath. 

Photography services are available as well. Please inquire if interested.

Studio rental rate is $55/hour, 2-hour minimum. The price only reflects the space and amenities mentioned. 

NONE OF THE PHOTO/VIDEO EQUIPMENT IS INCLUDED WITH THE PRICE.

Equipment Rental is available as per day rent basis: Professional lighting and grip equipment from Arri, Alien Bees, Chimera, Manfrotto, PocketWizard, 12’-wide seamless (black/white/ fashion Gray), 12' X 12' Fabric Chroma screen etc. Email us for our equipments with price list.

Total space :  2000sq ft.

Open Conference space/ production meeting space 1200 sq ft
Sofa/ chairs, 4 X 4' square windows

Studio/photography space 500sq ft+
18’ wide, 24’ long, 10’ ceilings, hardwood floors/ removable carpet
Throughout daylight exposure, 4 X 4' square windows and 1 X 8' window.
 1 bathroom, 21""location monitor, digital tech station (mac tower, Imac, hardrives), hair and makeup vanity, wifi

In house Photographer and Videographer also available. Please inquire within.",55,304,https://www.peerspace.com/pages/listings/581270d989c65d1600ae4521,"Woodside, Queens County, NY"
Gorgeous Meeting Room On Upper West Side,"Located in the heart of Manhattan, a short walking distance from Columbus Circle and Central Park. Conveniently located in between Upper West Side and Midtown. 

This is a beautiful ground level meeting room with decorative fireplace, 12"" ceilings, sofa, armchair, coffee table, desk with Apple desktop. It can accommodate up to 6-10 people for a comfortable private meeting, film or photo shoot. 

Easy to book on a short notice. Feel free to contact me with any questions. I will try to accommodate your requests as much as I can. Looking forward to hosting your next meeting. Previews are welcome.

!!!! PLEASE NOTE: Large professional production teams of over 6 people are welcome at $95/hour.

Please check my other listings: 

1. Entire office space

https://www.peerspace.com/pages/listings/573e412a867ecd0900d2306c

2. Conference room

https://www.peerspace.com/pages/listings/574d0d4edf9a4a0900515b71",69,117,https://www.peerspace.com/pages/listings/574d0ac1df9a4a0900515b47,"Upper West Side, New York, NY"
Stunning Large Meeting Room D For 18 -Times Square,"18 person capacity
    Modern, Sustainable Wood Laminate Conference Table
    Ergonomic Black Leather Executive Chairs
    60"" Samsung High-Definition LED TV
    VoIP High Definition Teleconferencing
    High-Definition video conferencing
    VGA & HDMI inputs for personal computers
    Wifi & Wired Ethernet Connectivity
    Catering Available
    Receptionist",125,2,https://www.peerspace.com/pages/listings/59726a20d0f9475201489244,"Midtown, New York, NY"
Williamsburg Apartment With A Backyard!,"An enormous first floor, one bedroom apartment in WILLIAMSBURG! This space offers a spacious BACKYARD for relaxing and activities, amazing light, steps away from endless RESTAURANTS and BARS, and a queen sized SLEEP6 mattress! Street parking is available for you and if you don’t have a vehicle, the place is right next to the Graham stop on the L train. So CONVENIENT.",150,10,https://www.peerspace.com/pages/listings/582dc0e87dea1431000529ef,"Williamsburg, Kings County, NY"
Elegant Conference Room For Production,"Our building is brand new with large windows from floor to ceiling that overlook Broadway. This conference room is equipped with state of the art A/V equipment including Apple TV and Chromecast.

In addition, we have 250 Private offices and desks that we'd love to share with you. Please take a look at our other listings for desk rentals here: https://www.peerspace.com/pages/listings/5720df0007bf0909007720b7


You'll be able to share our multiple conference rooms, kitchen, wifi, elevators,courtyard, penthouse rooftop and multiple communal space. Just minutes away from all the major subway lines (A, C, E, B, D, F, M, N, Q, R, 6 & 1)",100,12,https://www.peerspace.com/pages/listings/5755e84d3a13b60900770a04,"SoHo, New York, NY"
Creative Industrial Loft Open Space Studio Near 5th Ave In Garment District,"A unique creative loft studio space in a 1900's maisonette building, on the 2nd floor with large street facing windows with view of Lord and Taylor. Mixed raw industrial elements creating a modern, sophisticated, SoHo feel in the heart of Manhattan's Midtown. 

The 1400 sq ft loft is steps from 5th Avenue and 2 blocks from Bryant Park, couldn't be in a better location coming from any part of the city or even out of town. Central to Grand Central Station and Penn Station. This Modern, intimate location was creatively designed to be clean, open, versatile and inspiring. 

Features include expansive warm red brick walls, painted black wood floors, 16ft high beamed ceilings, large street facing windows, and natural light that enters through the skylight above the windows. Decorated in a vintage sleek and modern style. All Designer Vintage furniture adorns the area, a chesterfield couch in a lounge area and iconic vintage Herman Miller chairs paired with simple minimalist tables, all moveable around the space. 

The mezzanine level, boasts a break out space/conference room closed off by black framed windows that slide open to the main room, an open yet private meeting space. Bring the 12ft projector screen down to close off the area for even more privacy. Furnished with large wood conference style table, collectible designer chairs for 8, and a mid-century wall unit with design book library about fashion to inspire. 

Easily accessible by all major forms of transportation, Subway, Bus, Metro North, Amtrak, NJ transit and LIRR Nearest station: 42st Bryant Park (7, B, D, M, F) 

Amenities: 
High Speed Secure Internet 
Wifi HotSpot 
Kitchenette with stainless steel dishwasher
cook top and 2 small Executive refrigerators 
Private Bathrooms on each floor 
Professional Sound system with Bluetooth Connectivity 
12ft Projector screen 
Projector 5000 lumens easy wireless connectivity 
Apple TV on projector 
Wifi Printer 
Chairs for 20 and 7 rectangular Tables 
Lounge area

** All furniture and amenities included 

Note: Price starts at $115 per hour for maximum 20 attendees 

** Additional attendees? 20 +? inquire for custom quote",115,283,https://www.peerspace.com/pages/listings/564fa072b43bee0600ff38a0,"Midtown, New York, NY"
The Lodge In Williamsburg,"Your very own cozy lodge in the heart of Williamsburg! Filled with taxidermy, antlers and a back patio! This one bedroom is the perfect getaway for anyone or any group. Walking distance from your new favorite eats, this is your new home away from home.",150,5,https://www.peerspace.com/pages/listings/582dbc5c7dea14310005293a,"Williamsburg, Kings County, NY"
Chic Apartment In Midtown,"Wake up in the city that doesn't sleep! This three-bedroom, one-bathroom apartment is so chic, Carrie Bradshaw would be jealous. Strut the streets to the upscale shops of Fifth avenue, or sing your way to a show on Broadway. This Midtown spot will let you live it up in luxury.",150,10,https://www.peerspace.com/pages/listings/582dbec27dea14310005299e,"Midtown, New York, NY"
Fantastic Midtown Photography Studio With Skyline Views,"THIS SPACE IS PERFECT FOR CREATIVE PRODUCTIONS, BUT NOT AVAILABLE FOR A PRIVATE PARTY!

Our freshly renovated studio, located in the heart of the Garment district on 38th Street and 8th Avenue, has wonderful natural light and stunning NYC views. Available per week, day, half day for photo / video productions,pop-up showrooms, and castings.

We have 35 chairs and stoles available plus a large white leather couch and two white leather chairs. We can seat about a total of 40 people.  We have two desks, one round table, four 6'x3' folding tables, one movable 6'x3' desk on rolls and one large 10'x4'dining room table in the conference room. We are conveniently located only two blocks from the Port Authority Bus Terminal and 4 blocks from Penn Station. We have parking on the street available on Sundays and several parking garages near our studio for the other days. There are several nice restaurant and cafes within 2 short blocks of our building including Dean and Deluca and Starbucks. 

Our photo studio is one of the most beautiful and affordable available in Manhattan, and because it is not name branded it will help you to shine and impress even the most sophisticated clients. 

Studio facts: 
• Multiple meeting and shooting areas, plus a conference room with 11ft ceilings 
• The studio has about 1,200 sq. ft usable space  
• Projector & screen, TV display & sound system, sample product & album storage and fast wifi internet 
• Kitchen with refrigerator, water cooler, microwave and coffee maker; elegant private bathroom 
• Ultra wide 144"" backdrop system with white , gray , black paper ($30 per 10' sheet), 2 large V-flat, 3 C-Stands included
• Computer- and photo-equipment rentals are also available, we have White Lightning mono lights, a ring light and several soft-boxes 
• Fantastic art gallery-like studio, a perfect sales environment for a high-end NYC wedding photographer or any other event vendors",150,167,https://www.peerspace.com/pages/listings/565da7ee604cc10600ab0583,"Midtown, New York, NY"
Williamsburg Aparment With A Killer Roofdeck!,"I’ll bet you dollars to doughnuts you won’t find a better place to break the devil’s dishes than this BK abode! If you axe me, Williamsburg is the place to stay in Brooklyn for cool cats and cujinettes. With fun at your fingertips, and style from head to toe, my fly flat will keep you cozy and curious, whether you’re staying the night or setting up shop! Oh, and the rooftop deck has bomb views. 🙂 You gotta see it for yourself!",150,3,https://www.peerspace.com/pages/listings/582dc5bc7dea143100052a63,"Williamsburg, Kings County, NY"
Modern Luxury In The City That Never Sleeps!,NEW F***IN' YORK!,200,24,https://www.peerspace.com/pages/listings/5807d8518dd61f090050cd1c,"Midtown, New York, NY"
Green Screen Studio And Sound Stage In Lower Manhattan,"Located in the heart of lower Manhattan, we provide two stages for the price of one -  a hard fiberglass green screen cyclorama and a sound stage with variable background options.  All rentals come with 1 Private Sound Stage, 1 L-Shaped Fiberglass Cyclorama, Make-Up & Dressing Room, Wardrobe Room, 1 Green Room, Full Lighting Grid, and Multiple Circuits (plenty of power).  Studio time can be booked on an hourly or daily basis.  Hourly rentals require a minimum of 5 hours.  Daily rentals consist of 10-hour blocks of time.  Rate is discounted to $100/hr when booking 10+ hours. 

We also offer In House Lighting and & Grip Packages.

We are conveniently located across from the Fulton Street Terminal and easily accessible with the 2, 3, 4, 5, A, C, J, Z, R, and Path Train.",150,25,https://www.peerspace.com/pages/listings/5755f36b3a13b60900770a68,"Manhattan, New York, NY"
Colorful Photo/video Studio With Different Backgrounds And Lights,"Colorful Photo/Video Studio is available 24 hours (day or night) for rent.   There are backgrounds and lighting equipment available for your use.  Refrigerator and microwave will make it easier to take breaks. Curtains on the walls can change to any color creating completely different backgrounds as well.  Disco lights, smoke and bubble machines will give needed effects for an event or photo or video production.  Tons of costumes, tables, chairs decorations - we can do almost anything you desire.
Please inquire about a cheaper pricing for nights and renting only 1000 square feet private space vs renting the whole place -2000 square feet.

We are right next to L-train station - Wyckoff/Halsey and B26 bus station

Photo Equipment for your use:
Hensel Integra 500 2 Light Kit with Stands
Integra 500W/s Flash x2
7.0"" Reflector x1
Umbrella Reflector x1
Softbox with Speed Ring x1
Alu Stand x2
Softbag VII x1
6-Stop Power Range
2.2 sec. Full Power Recycling Time
300W Modeling Lights
Multi-voltage: 110-240VAC

Chimera Video Pro Plus 1 Triolet Kit
Triolet Fixture, 1000W Bulb
Integral Mounting Ring
24x32"" Video Plus 1 Softbox
Light Stand: 9.5'
120V Bulb",200,7,https://www.peerspace.com/pages/listings/564381e8b43bee0600ff2c16,"Ridgewood, Queens County, NY"
Soho Office And Desk Rentals,"Our building is brand new with large windows from floor to ceiling that overlook Broadway. These offices are naturally lit and are furnished with brand new desks and chairs.

Access to state of the are conference rooms with brand new flat screens and A/V equipment including Apple TV and Chromecast are available. Please take a look at our other listing for conference room rentals here: https://www.peerspace.com/pages/listings/56e72639b660181600dfa5da

You'll be able to share our multiple conference rooms, kitchen, wifi, elevators,courtyard, penthouse rooftop and multiple communal space. Just minutes away from all the major subway lines (A, C, E, B, D, F, M, N, Q, R, 6 & 1)",100,19,https://www.peerspace.com/pages/listings/58584c6622e888090081e154,"SoHo, New York, NY"
The Perfect Production Space In Boropark/midwood Brooklyn!,"The exposed brick, a large open space and modern furnishings makes this the perfect production space in the heart of Brooklyn. There is a kitchen, 3 bathrooms, changing rooms and ample storage space for all your production needs.

59 Loft sits right where Boropark meets Midwood, in an industrial area frequented by businessmen, celebrities and regular folks from all over the tri-state. It is 3000 ft.² with 18 foot high ceilings. The space comes semi-furnished and can be custom built according to your needs.

We hope you take a look and enjoy your next production at 59 Loft. There is plenty of parking. For transit, use the F train.",250,5,https://www.peerspace.com/pages/listings/58335ca86d8c590900e623b0,"Mapleton, Kings County, NY"
Bright And Spacious Soho / West Village Boutique With Huge Glass Storefront,"This spacious and bright 1500 Square foot Retail space is functioning as a lovely women`s boutique, with it`s beautiful full sized storefront, in the heart of the Soho/West Village Shopping District.

Ideal place for Photo, and film production

The interior is white brick walls / black and white wallpaper and wood floors.

Day of event, We will have someone at the Venue to give you access.",275,3,https://www.peerspace.com/pages/listings/58d1d2a16191d20b004798b3,"Lower Manhattan, New York, NY"
Contemporary Gallery In The Bowery Perfect For Fashion Week,"Our Gallery space has ground floor access with lots of natural light, a blank canvas to host professional events and production.  Our location is ideal with major subway stops at Broadway Lafayette (B,D,F,M), 2nd ave (F), and Bowery (J,Z) along with 3 parking garages within a 5 minute walk.  The space is approximately 1600 sq ft.",1000,7,https://www.peerspace.com/pages/listings/577ab4e37cdf7209005e76dc,"Lower East Side, New York, NY"
Cozy Basement Apartment In Queens,Approximately 500 sq feet basement studio apt with access to kitchen sink and bathroom. Also a beige leather couch and bookshelf in living area.,35,3,https://www.peerspace.com/pages/listings/5817a3b789c65d1600ae4df7,"Brookville, Queens County, NY"
Test Kitchen And Event Space,"Beautiful and bright test kitchen. Great for Cooking shows, culinary events and private dinners. 1400sq ft. The Space accommodates 50 seated and 100 standing.",345,2,https://www.peerspace.com/pages/listings/58e507686191d20b0047f24b,"Midtown, New York, NY"
Large Outdoor Terrace For Production,"Our building is brand new with large windows from floor to ceiling that overlook Broadway. This terrace is perfect for intimate social gatherings in a wonderful environment.

In addition, we have 250 Private offices and desks that we'd love to share with you. Please take a look at our other listings for desk rentals here: https://www.peerspace.com/pages/listings/5720df0007bf0909007720b7


You'll be able to share our multiple conference rooms, kitchen, wifi, elevators,courtyard, penthouse rooftop and multiple communal space. Just minutes away from all the major subway lines (A, C, E, B, D, F, M, N, Q, R, 6 & 1)",400,11,https://www.peerspace.com/pages/listings/57559b1bdf9a4a0900516df0,"SoHo, New York, NY"
"Luxury Euro-spa Complex And Event Space In Clinton Hill, Brooklyn","This is a 10,000 square foot facility. 12 rooms, VIP suite, Wet Lounge with Swedish sauna, Russian sauna, Turkish Steam Room, Cold plunge Pool, Jacuzzi, Dry lounge with Fire place, Bar area, Kitchen, Laundry, Women Lockers, Men Lockers, Reception, Private Rental Packages, Free Wi-fi and parking.",500,3,https://www.peerspace.com/pages/listings/57910c5ab39db70900d836c4,"Clinton Hill, Kings County, NY"
